post_id,comment_id,comment_text,lang
A1,10001,🍸 firsts,en
A1,10004,nice,en
A1,10005,LIKE BACK,en
A1,10006,❤ ️ ❤ ️ ❤ ️,most_emoji
A1,10010,🫣,most_emoji
A1,10012,❤ ️,most_emoji
A1,10013,first comment,en
A1,10014,lbinstantly 🤍,en
A1,10016,👏,most_emoji
A1,10020,i love you  😍  😍,en
A1,10022,❤ ️ 👏,most_emoji
A1,10029,shoes are terrible 😢,en
A1,10031,lbinstantly  🫶  🏻,en
A1,10033,🌠 firsts,en
A1,10034,we need a ballet teacher at the photo shooting  ❤ ️,en
A1,10036,only here for the comment,en
A1,10038,beautiful in red  ❤ ️‍ 🔥,en
A1,10039,🔥  🔥  🔥  ❤ ️ ❤ ️ ❤ ️ 😍  😍  😍,most_emoji
A1,10041,CBCB ❤ ️,en
A1,10043,ya paid for the ads show it off,en
A1,10044,❤ ️ 👡,most_emoji
A1,10046,love  ❤ ️ everything but the shoes,en
A1,10049,high heels on my tippies,en
A1,10050,can we take a picture with ur bf?,en
A1,10053,😍  😍  😍  😍,most_emoji
A1,10054,🔥  🔥  🔥  🔥,most_emoji
A1,10055,😂  😂  😂  😂,most_emoji
A1,10056,😍  😍  😍,most_emoji
A1,10058,😮  😮  😮  😮,most_emoji
A1,10059,❤ ️ ❤ ️ ❤ ️ ❤ ️,most_emoji
A1,10061,exciting,en
A1,10065,that's a dumb pose.,en
A1,10066,🔥  🔥,most_emoji
A1,10069,stop leaning on the dirty wall  😂  😩,en
A1,10074,fashion queen ❤ ️ ❤ ️ ❤ ️,en
A1,10075,😍,most_emoji
A1,10076,🌋  🔥  🔥  🔥,most_emoji
A1,10077,what was that pose lol,en
A1,10079,F I R S T  🔥,en
A1,10083,all these poses are kinda silly.. just give us one good banger of a photo and we’re good,en
A1,10086,aw yeah  ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,most_emoji
A1,10088,could be,en
A1,10092,this fly!  🤩  ♥ ️,en
A1,10094,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,most_emoji
A1,10096,this era  🔥 natural look I’m just obsessed  😍,en
A1,10097,where are you that those walls are filthy,en
A1,10098,nice pick!,en
A1,10099,😍  😍  ❤ ️,most_emoji
A1,10101,the lovely kylie sweet popcorn stylish girl,en
A1,10103,😍  🔥  ❤ ️,most_emoji
A1,10104,like back,en
A1,10105,lol she in a ghetto hallway no way 😂,en
A1,10106,❤ ️ ❤ ️ ❤ ️ ❤ ️ 🧿  🧿  🧿,most_emoji
A1,10107,S 🔥  seductive uncle   ❤ ️,en
A1,10108,👍  😍  😍  😍  🥰  🥰  🥰  🔥  🔥  🔥  ❤ ️‍ 🔥  ❤ ️‍ 🔥  ❤ ️‍ 🔥  ❤ ️‍ 🔥  💘  💘  💘  💞  💞  💞  💞 so stunning!!! 💋  💋  💋  💋,most_emoji
A1,10109,can  we get a break,en
A1,10110,like it's obvious you're entitled .... chill,en
A1,10113,❤ ️ ❤ ️,most_emoji
A1,10114,I need job please,en
A1,10117,beautiful.,en
A1,10120,you have to pick new facial expressions. you recent one make you look so much older on camera.,en
A1,10122,those shoes are awful!,en
A1,10127,☁ ️first ☁ ️,en
A1,10131,👏  👏  👏  🔥  🔥,most_emoji
A1,10133,the shoesss  🫨  🫨  🫨,en
A1,10134,soo good,en
A1,10135,you look beautiful,en
A1,10137,it’s giving powerpuff girls and I’m here for it.,en
A1,10140,a man a to viau chu ka ring a mahse i pheikhawk chu a nalh looooooooo... 😂  😂,en
A1,10144,I love  items 😍,en
A1,10145,♥ ️ ♥ ️ ♥ ️ ♥ ️ ♥ ️ ♥ ️,most_emoji
A1,10148,killing me w that smile,en
A1,10149,such talent!,en
A1,10152,kylie this outfit is so boots the house down serve mama slay pussy cunt,en
A1,10153,🤍  🤍  🤍,most_emoji
A1,10154,🌹  🌹  🌹,most_emoji
A1,10155,🔥  😍  😍,most_emoji
A1,10157,wow  🤩  stunna bae wasup  👸  🏻  💖  💖  💖  💖  ❤ ️ ❤ ️ ❤ ️ ❤ ️ 🎀  🎀  🤴  🏽  🤗  🤗  😃  😃  💙  💙  😘  😘  have a good day bae I love you  😘  ❤ ️ 💕,en
A1,10159,🌹  🍒  🌹,most_emoji
A1,10160,👏  👏  👏  👏  👏  👏  👏,most_emoji
A1,10162,😂,most_emoji
A1,10163,🔥,most_emoji
A1,10168,I would not be leaning on that dirty wall.  🤮   😬  🤭,en
A1,10170,bradley cooper  🤢  🤢  🤮  🤮,en
A1,10171,🔥  ❤ ️,most_emoji
A1,10172,love red on you,en
A1,10173,exactly  💯 %,en
A1,10174,lol girl no,en
